Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_PE2	GO:0071682	endocytic vesicle lumen	1/410	20/19559	0.345516564886742	0.52026057471452	0.359521168545189	SPARC	1	SPARC
cluster_PE2	GO:0045334	clathrin-coated endocytic vesicle	2/410	59/19559	0.351632524196059	0.527448786294088	0.364488514433842	CD9/MYO1E	2	CD9/MYO1E
cluster_PE2	GO:0005637	nuclear inner membrane	2/410	60/19559	0.359233135086532	0.530771663401435	0.366784757352538	IFI27/P2RX1	2	IFI27/P2RX1
cluster_PE2	GO:0046658	anchored component of plasma membrane	2/410	60/19559	0.359233135086532	0.530771663401435	0.366784757352538	CD59/GPC6	2	CD59/GPC6
cluster_PE2	GO:0042827	platelet dense granule	1/410	21/19559	0.359250031717002	0.530771663401435	0.366784757352538	TIMP3	1	TIMP3
cluster_PE2	GO:0099091	postsynaptic specialization, intracellular component	1/410	21/19559	0.359250031717002	0.530771663401435	0.366784757352538	SRGN	1	SRGN
cluster_PE2	GO:0016605	PML body	3/410	102/19559	0.361128163043221	0.531548195041145	0.367321372226103	MKNK2/HIPK2/SMC6	3	MKNK2/HIPK2/SMC6
cluster_PE2	GO:0031301	integral component of organelle membrane	9/410	367/19559	0.363803617199547	0.533488140147096	0.368661953014466	B2M/HLA-B/HLA-F/HLA-C/HLA-A/CHCHD10/RNF152/PCSK7/P2RX1	9	B2M/HLA-B/HLA-F/HLA-C/HLA-A/CHCHD10/RNF152/PCSK7/P2RX1
cluster_PE2	GO:0035861	site of double-strand break	2/410	61/19559	0.366800838037489	0.535883752225774	0.370317418171286	SMC6/ACTR2	2	SMC6/ACTR2
cluster_PE2	GO:0042629	mast cell granule	1/410	22/19559	0.372696008121753	0.540477974877671	0.37349221245062	SRGN	1	SRGN
cluster_PE2	GO:0071782	endoplasmic reticulum tubular network	1/410	22/19559	0.372696008121753	0.540477974877671	0.37349221245062	REEP3	1	REEP3
cluster_PE2	GO:0042470	melanosome	3/410	105/19559	0.37825891811343	0.544526574427025	0.376289959025505	MYH11/SYTL2/STOM	3	MYH11/SYTL2/STOM
cluster_PE2	GO:0048770	pigment granule	3/410	105/19559	0.37825891811343	0.544526574427025	0.376289959025505	MYH11/SYTL2/STOM	3	MYH11/SYTL2/STOM
